Technique,Family,FileList,FileCount
T1059.001,T1059,content/detection-rules/sigma/execution/powershell_suspicious_commands.yml;content/detection-rules/splunk/execution_detections.spl;content/detection-rules/wazuh/rules/wazuh-058-suspicious-powershell-download.xml,3
T1059.003,T1059,content/detection-rules/sigma/execution/cmd_suspicious_commands.yml;content/detection-rules/splunk/windows_security_eventlog_detections.spl,2
T1059.004,T1059,content/detection-rules/sigma/execution/linux_bash_suspicious.yml;content/detection-rules/splunk/execution_detections.spl,2
T1059.005,T1059,content/detection-rules/sigma/execution/wscript_cscript_suspicious.yml;content/detection-rules/splunk/execution_detections.spl,2
T1068,T1068,content/detection-rules/sigma/privilege-escalation/printspooler_privilege_escalation.yml,1
T1070,T1070,content/detection-rules/sigma/defense-evasion/clear_windows_event_logs.yml;content/detection-rules/sigma/defense-evasion/indicator_removal_linux.yml;content/detection-rules/sigma/defense-evasion/timestomping.yml,3
T1070.001,T1070,content/detection-rules/sigma/defense-evasion/clear_windows_event_logs.yml;content/detection-rules/splunk/defense_evasion_detections.spl,2
T1070.002,T1070,content/detection-rules/sigma/defense-evasion/indicator_removal_linux.yml;content/detection-rules/splunk/defense_evasion_detections.spl,2
T1070.006,T1070,content/detection-rules/sigma/defense-evasion/timestomping.yml;content/detection-rules/splunk/defense_evasion_detections.spl,2
T1071.004,T1071,content/detection-rules/wazuh/rules/wazuh-067-dns-tunneling-detection.xml,1
T1074,T1074,content/detection-rules/sigma/collection/data_staged.yml,1
T1078,T1078,content/detection-rules/splunk/windows_security_eventlog_detections.spl;content/detection-rules/wazuh/rules/wazuh-052-file-integrity-critical-system.xml;content/detection-rules/wazuh/rules/wazuh-064-impossible-travel-detection.xml,3
T1078.002,T1078,content/detection-rules/wazuh/rules/wazuh-060-unauthorized-privileged-account-use.xml,1
T1082,T1082,content/detection-rules/sigma/discovery/system_information_discovery.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1083,T1083,content/detection-rules/sigma/discovery/file_directory_discovery.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1087,T1087,content/detection-rules/sigma/discovery/ad_enumeration.yml,1
T1087.001,T1087,content/detection-rules/splunk/windows_security_eventlog_detections.spl,1
T1087.002,T1087,content/detection-rules/sigma/discovery/ad_enumeration.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1098,T1098,content/detection-rules/wazuh/rules/wazuh-066-linux-suspicious-sudo-password-change.xml,1
T1113,T1113,content/detection-rules/sigma/collection/screen_capture.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1114,T1114,content/detection-rules/sigma/collection/email_collection.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1115,T1115,content/detection-rules/sigma/collection/clipboard_capture.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1123,T1123,content/detection-rules/sigma/collection/audio_capture.yml,1
T1125,T1125,content/detection-rules/sigma/collection/video_capture.yml,1
T1134,T1134,content/detection-rules/sigma/privilege-escalation/named_pipe_impersonation.yml;content/detection-rules/sigma/privilege-escalation/runas_execution.yml;content/detection-rules/sigma/privilege-escalation/token_manipulation.yml;content/detection-rules/splunk/privilege_escalation_detections.spl,4
T1134.001,T1134,content/detection-rules/sigma/privilege-escalation/named_pipe_impersonation.yml;content/detection-rules/splunk/privilege_escalation_detections.spl,2
T1135,T1135,content/detection-rules/sigma/discovery/network_share_discovery.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1137,T1137,content/detection-rules/sigma/persistence/office_addins.yml;content/detection-rules/splunk/persistence_detections.spl,2
T1140,T1140,content/detection-rules/splunk/windows_security_eventlog_detections.spl,1
T1190,T1190,content/detection-rules/wazuh/rules/wazuh-054-web-attack-sql-injection.xml,1
T1197,T1197,content/detection-rules/sigma/persistence/bits_job_persistence.yml;content/detection-rules/splunk/persistence_detections.spl,2
T1204,T1204,content/detection-rules/sigma/execution/macro_execution.yml;content/detection-rules/wazuh/rules/wazuh-055-malware-detection-virustotal.xml,2
T1204.002,T1204,content/detection-rules/sigma/execution/macro_execution.yml;content/detection-rules/splunk/execution_detections.spl,2
T1218,T1218,content/detection-rules/sigma/execution/mshta_suspicious_execution.yml;content/detection-rules/sigma/execution/regsvr32_suspicious.yml,2
T1218.005,T1218,content/detection-rules/sigma/execution/mshta_suspicious_execution.yml;content/detection-rules/splunk/execution_detections.spl,2
T1218.010,T1218,content/detection-rules/sigma/execution/regsvr32_suspicious.yml;content/detection-rules/splunk/execution_detections.spl,2
T1218.011,T1218,content/detection-rules/sigma/credential-access/lsass_dump_comsvcs.yml;content/detection-rules/splunk/execution_detections.spl,2
T1482,T1482,content/detection-rules/sigma/discovery/domain_trust_discovery.yml;content/detection-rules/splunk/discovery_detections.spl,2
T1485,T1485,content/detection-rules/sigma/impact/data_destruction.yml;content/detection-rules/sigma/impact/database_destruction.yml;content/detection-rules/sigma/impact/linux_data_destruction.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,4
T1486,T1486,content/detection-rules/sigma/impact/ransomware_activity.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl;content/detection-rules/wazuh/rules/wazuh-062-file-encryption-ransomware.xml,3
T1489,T1489,content/detection-rules/sigma/impact/service_stop.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1490,T1490,content/detection-rules/sigma/impact/bcdedit_boot_config.yml;content/detection-rules/sigma/impact/vssadmin_delete_shadows.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,3
T1491,T1491,content/detection-rules/sigma/impact/defacement.yml,1
T1491.001,T1491,content/detection-rules/sigma/impact/defacement.yml,1
T1495,T1495,content/detection-rules/sigma/impact/firmware_corruption.yml,1
T1496,T1496,content/detection-rules/sigma/impact/resource_hijacking.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1498,T1498,content/detection-rules/sigma/impact/network_dos.yml,1
T1530,T1530,content/detection-rules/wazuh/rules/wazuh-065-aws-s3-bucket-public-exposure.xml,1
T1531,T1531,content/detection-rules/sigma/impact/account_manipulation.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1543,T1543,content/detection-rules/sigma/persistence/linux_systemd_service.yml;content/detection-rules/sigma/persistence/new_service_creation.yml,2
T1543.002,T1543,content/detection-rules/sigma/persistence/linux_systemd_service.yml,1
T1543.003,T1543,content/detection-rules/sigma/persistence/new_service_creation.yml;content/detection-rules/splunk/persistence_detections.spl;content/detection-rules/wazuh/rules/wazuh-059-new-service-creation.xml,3
T1546,T1546,content/detection-rules/sigma/persistence/linux_bashrc_modification.yml;content/detection-rules/sigma/persistence/screensaver_persistence.yml;content/detection-rules/sigma/persistence/wmi_event_subscription.yml,3
T1546.002,T1546,content/detection-rules/sigma/persistence/screensaver_persistence.yml,1
T1546.003,T1546,content/detection-rules/sigma/persistence/wmi_event_subscription.yml;content/detection-rules/splunk/persistence_detections.spl,2
T1546.004,T1546,content/detection-rules/sigma/persistence/linux_bashrc_modification.yml,1
T1547,T1547,content/detection-rules/sigma/persistence/registry_run_keys.yml;content/detection-rules/sigma/persistence/startup_folder_modification.yml;content/detection-rules/sigma/privilege-escalation/kernel_module_load.yml,3
T1547.001,T1547,content/detection-rules/sigma/persistence/registry_run_keys.yml;content/detection-rules/sigma/persistence/startup_folder_modification.yml;content/detection-rules/splunk/persistence_detections.spl;content/detection-rules/wazuh/rules/wazuh-070-registry-autorun-modification.xml,4
T1547.006,T1547,content/detection-rules/sigma/privilege-escalation/kernel_module_load.yml,1
T1548,T1548,content/detection-rules/sigma/privilege-escalation/always_install_elevated.yml;content/detection-rules/sigma/privilege-escalation/eventvwr_uac_bypass.yml;content/detection-rules/sigma/privilege-escalation/sudo_abuse.yml;content/detection-rules/sigma/privilege-escalation/suid_binary_execution.yml;content/detection-rules/sigma/privilege-escalation/uac_bypass_fodhelper.yml,5
T1548.001,T1548,content/detection-rules/sigma/privilege-escalation/suid_binary_execution.yml,1
T1548.002,T1548,content/detection-rules/sigma/privilege-escalation/always_install_elevated.yml;content/detection-rules/sigma/privilege-escalation/eventvwr_uac_bypass.yml;content/detection-rules/sigma/privilege-escalation/uac_bypass_fodhelper.yml;content/detection-rules/splunk/privilege_escalation_detections.spl,4
T1548.003,T1548,content/detection-rules/sigma/privilege-escalation/sudo_abuse.yml;content/detection-rules/splunk/privilege_escalation_detections.spl,2
T1550,T1550,content/detection-rules/sigma/lateral-movement/pass_the_hash.yml,1
T1550.002,T1550,content/detection-rules/sigma/lateral-movement/pass_the_hash.yml;content/detection-rules/splunk/lateral_movement_detections.spl,2
T1552,T1552,content/detection-rules/sigma/collection/linux_history_access.yml;content/detection-rules/sigma/credential-access/credential_access_ssh_keys.yml,2
T1552.003,T1552,content/detection-rules/sigma/collection/linux_history_access.yml,1
T1552.004,T1552,content/detection-rules/sigma/credential-access/credential_access_ssh_keys.yml,1
T1555,T1555,content/detection-rules/sigma/credential-access/browser_credential_theft.yml,1
T1555.003,T1555,content/detection-rules/sigma/credential-access/browser_credential_theft.yml;content/detection-rules/splunk/credential_access_detections.spl,2
T1555.004,T1555,content/detection-rules/splunk/windows_security_eventlog_detections.spl,1
T1558,T1558,content/detection-rules/sigma/credential-access/kerberoasting.yml,1
T1558.003,T1558,content/detection-rules/sigma/credential-access/kerberoasting.yml;content/detection-rules/splunk/credential_access_detections.spl;content/detection-rules/wazuh/rules/wazuh-072-kerberoasting-detection.xml,3
T1560,T1560,content/detection-rules/sigma/collection/archive_collected_data.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1561,T1561,content/detection-rules/sigma/impact/disk_wipe.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,2
T1562,T1562,content/detection-rules/sigma/defense-evasion/amsi_bypass.yml;content/detection-rules/sigma/defense-evasion/disable_firewall.yml;content/detection-rules/sigma/defense-evasion/disable_windows_defender.yml,3
T1562.001,T1562,content/detection-rules/sigma/defense-evasion/amsi_bypass.yml;content/detection-rules/sigma/defense-evasion/disable_windows_defender.yml;content/detection-rules/splunk/defense_evasion_detections.spl;content/detection-rules/wazuh/rules/wazuh-057-windows-defender-disabled.xml,4
T1562.004,T1562,content/detection-rules/sigma/defense-evasion/disable_firewall.yml;content/detection-rules/splunk/defense_evasion_detections.spl,2
T1567,T1567,content/detection-rules/sigma/exfiltration/cloud_sync_abuse.yml;content/detection-rules/sigma/exfiltration/exfil_over_web_service.yml;content/detection-rules/splunk/collection_exfiltration_impact.spl,3
T1567.002,T1567,content/detection-rules/sigma/exfiltration/cloud_sync_abuse.yml,1
T1570,T1570,content/detection-rules/sigma/lateral-movement/psexec_execution.yml;content/detection-rules/sigma/lateral-movement/remote_file_copy.yml;content/detection-rules/splunk/lateral_movement_detections.spl;content/detection-rules/wazuh/rules/wazuh-069-lateral-movement-psexec.xml,4
T1574,T1574,content/detection-rules/sigma/defense-evasion/dll_sideloading.yml,1
T1574.002,T1574,content/detection-rules/sigma/defense-evasion/dll_sideloading.yml;content/detection-rules/splunk/defense_evasion_detections.spl,2
T1580,T1580,content/detection-rules/sigma/discovery/cloud_service_enumeration.yml,1
T1611,T1611,content/detection-rules/wazuh/rules/wazuh-074-container-escape-attempt.xml,1
